subject_id	group	tumor_size	time_point	batch
b3_mbif2	M_BIF	0.32	11	batch_3
b3_mbif3	M_BIF	0.18	11	batch_3
b3_mbif4	M_BIF	0.61	11	batch_3
b3_mbif5	M_BIF	0.13	11	batch_3
b3_mbif6	M_BIF	0.98	11	batch_3
b3_mbif7	M_BIF	0.5	11	batch_3
b3_mbif8	M_BIF	0.41	11	batch_3
b3_mbif9	M_BIF	0.25	11	batch_3
b3_mbif10	M_BIF	0.85	11	batch_3
b3_mbif1	M_BIF	0.75	14	batch_3
b3_mbif2	M_BIF	1.4	14	batch_3
b3_mbif3	M_BIF	2.28	14	batch_3
b3_mbif4	M_BIF	0.32	14	batch_3
b3_mbif5	M_BIF	0.41	14	batch_3
b3_mbif6	M_BIF	1.28	14	batch_3
b3_mbif7	M_BIF	1.13	14	batch_3
b3_mbif8	M_BIF	1.121	14	batch_3
b3_mbif9	M_BIF	1.19	14	batch_3
b3_mbif10	M_BIF	0.72	14	batch_3
b3_mbif1	M_BIF	2.081	16	batch_3
b3_mbif2	M_BIF	0.99	16	batch_3
b3_mbif3	M_BIF	2.42	16	batch_3
b3_mbif4	M_BIF	0.85	16	batch_3
b3_mbif5	M_BIF	1.13	16	batch_3
b3_mbif6	M_BIF	2.6	16	batch_3
b3_mbif7	M_BIF	1.28	16	batch_3
b3_mbif8	M_BIF	1.13	16	batch_3
b3_mbif9	M_BIF	1.17	16	batch_3
b3_mbif1	M_BIF	1.43	18	batch_3
b3_mbif2	M_BIF	1.27	18	batch_3
b3_mbif3	M_BIF	1.8	18	batch_3
b3_mbif4	M_BIF	1.13	18	batch_3
b3_mbif5	M_BIF	1.45	18	batch_3
b3_mbif6	M_BIF	1.84	18	batch_3
b3_mbif7	M_BIF	1.84	18	batch_3
